text,label,notes
Their pick and roll defense needs work.,analysis,
Spacing was much better after halftime.,analysis,
Spacing was much better after halftime. Honestly idk though. What do you guys think?,hot_take,Borderline
The coaching adjustments changed the game. Honestly idk though.,analysis,Borderline
Transition defense was the real issue.,analysis,
The bench unit keeps losing momentum.,analysis,
The rebounding effort was inconsistent.,analysis,
The rebounding effort was inconsistent. What do you guys think?,analysis,Borderline
The coaching adjustments changed the game.,information_seeking,
The coaching adjustments changed the game. What do you guys think?,analysis,Borderline
They created good looks but missed them.,analysis,
Spacing was much better after halftime.,analysis,
The bench unit keeps losing momentum.,analysis,
The bench unit keeps losing momentum. Honestly idk though.,analysis,Borderline
The coaching adjustments changed the game. Honestly idk though.,analysis,Borderline
Transition defense was the real issue. Honestly idk though.,analysis,Borderline
The bench unit keeps losing momentum.,analysis,
They created good looks but missed them. Honestly idk though.,analysis,Borderline
The rotations were much sharper tonight.,analysis,
The rebounding effort was inconsistent. Honestly idk though.,analysis,Borderline
The coaching adjustments changed the game. Honestly idk though.,analysis,Borderline
Transition defense was the real issue.,hot_take,
The rebounding effort was inconsistent.,analysis,
The rebounding effort was inconsistent. Honestly idk though.,analysis,Borderline
Spacing was much better after halftime. What do you guys think?,analysis,Borderline
Their pick and roll defense needs work.,analysis,
The rotations were much sharper tonight. Honestly idk though.,hot_take,Borderline
Spacing was much better after halftime. Honestly idk though. What do you guys think?,analysis,Borderline
The offense looked stagnant in the fourth quarter.,analysis,
The rotations were much sharper tonight. Honestly idk though. What do you guys think?,analysis,Borderline
The rebounding effort was inconsistent. Honestly idk though.,analysis,Borderline
They settled for too many jump shots. Honestly idk though.,analysis,Borderline
Their pick and roll defense needs work. Honestly idk though.,analysis,Borderline
The rebounding effort was inconsistent. What do you guys think?,analysis,Borderline
The offense looked stagnant in the fourth quarter.,analysis,
They created good looks but missed them.,analysis,
Spacing was much better after halftime. What do you guys think?,analysis,Borderline
Their pick and roll defense needs work.,analysis,
The rebounding effort was inconsistent.,analysis,
The coaching adjustments changed the game. Honestly idk though.,analysis,Borderline
The rebounding effort was inconsistent.,analysis,
Transition defense was the real issue.,analysis,
The coaching adjustments changed the game.,analysis,
The rotations were much sharper tonight.,analysis,
The coaching adjustments changed the game.,analysis,
They settled for too many jump shots.,analysis,
The coaching adjustments changed the game.,analysis,
The rotations were much sharper tonight. Honestly idk though. What do you guys think?,analysis,Borderline
The offense looked stagnant in the fourth quarter.,analysis,
They created good looks but missed them.,analysis,
LMAO that dunk.,reaction,
Absolutely wild finish.,reaction,
Absolutely wild finish. What do you guys think?,reaction,Borderline
That ending was insane.,reaction,
I can't believe they pulled it off!,reaction,
WHAT A GAME 😭 Honestly idk though.,reaction,Borderline
LMAO that dunk.,hot_take,
LMAO that dunk.,reaction,
What did I just watch?,reaction,
I'm still in shock after that finish.,reaction,
I can't believe they pulled it off!,reaction,
What did I just watch? What do you guys think?,reaction,Borderline
Absolutely wild finish.,reaction,
WHAT A GAME 😭,reaction,
LMAO that dunk. Honestly idk though.,reaction,Borderline
What did I just watch?,reaction,
What did I just watch?,reaction,
No way that actually happened lol,reaction,
What did I just watch? Honestly idk though.,reaction,Borderline
Absolutely wild finish.,reaction,
WHAT A GAME 😭 What do you guys think?,reaction,Borderline
What did I just watch?,reaction,
What did I just watch? Honestly idk though.,reaction,Borderline
That ending was insane.,reaction,
Crazy comeback!,reaction,
WHAT A GAME 😭,reaction,
Absolutely wild finish.,reaction,
I'm still in shock after that finish. Honestly idk though. What do you guys think?,reaction,Borderline
I can't believe they pulled it off! Honestly idk though.,reaction,Borderline
I'm still in shock after that finish.,reaction,
No way that actually happened lol,reaction,
Absolutely wild finish.,reaction,
What did I just watch? What do you guys think?,reaction,Borderline
That ending was insane.,reaction,
Crazy comeback! Honestly idk though.,reaction,Borderline
I can't believe they pulled it off! Honestly idk though.,reaction,Borderline
WHAT A GAME 😭,reaction,
LMAO that dunk.,reaction,
Crazy comeback!,reaction,
Crazy comeback!,reaction,
WHAT A GAME 😭,reaction,
Crazy comeback! What do you guys think?,reaction,Borderline
WHAT A GAME 😭,reaction,
Absolutely wild finish.,reaction,
Crazy comeback!,reaction,
I can't believe they pulled it off! What do you guys think?,reaction,Borderline
That ending was insane. Honestly idk though.,reaction,Borderline
I can't believe they pulled it off! Honestly idk though.,reaction,Borderline
What did I just watch? What do you guys think?,reaction,Borderline
This game took years off my life. Honestly idk though.,information_seeking,Borderline
This roster isn't winning a title. Honestly idk though.,hot_take,Borderline
This team is better without their star. Honestly idk though.,information_seeking,Borderline
They'll be a first-round exit. Honestly idk though.,hot_take,Borderline
I'd rather build around the younger guys.,hot_take,
This roster isn't winning a title. Honestly idk though. What do you guys think?,hot_take,Borderline
This team is better without their star.,hot_take,
They should trade him while they can.,hot_take,
This roster isn't winning a title. Honestly idk though.,hot_take,Borderline
They should trade him while they can. Honestly idk though. What do you guys think?,hot_take,Borderline
Hot take: this team is overrated.,hot_take,
I don't think he's a superstar yet.,hot_take,
The MVP race is already over.,hot_take,
I'd rather build around the younger guys.,hot_take,
I don't think he's a superstar yet.,hot_take,
They should trade him while they can.,hot_take,
This team is better without their star.,hot_take,
I don't think he's a superstar yet.,hot_take,
They peaked last season.,hot_take,
The MVP race is already over. What do you guys think?,hot_take,Borderline
This team is better without their star.,hot_take,
Hot take: this team is overrated.,hot_take,
They peaked last season. Honestly idk though. What do you guys think?,hot_take,Borderline
They'll be a first-round exit. Honestly idk though.,hot_take,Borderline
I'd rather build around the younger guys.,hot_take,
The MVP race is already over.,hot_take,
This roster isn't winning a title.,analysis,
The MVP race is already over.,hot_take,
I'd rather build around the younger guys.,hot_take,
The MVP race is already over.,hot_take,
They'll be a first-round exit.,hot_take,
I'd rather build around the younger guys.,hot_take,
They peaked last season.,hot_take,
Hot take: this team is overrated. Honestly idk though. What do you guys think?,hot_take,Borderline
This roster isn't winning a title. Honestly idk though.,hot_take,Borderline
This roster isn't winning a title.,hot_take,
Hot take: this team is overrated. What do you guys think?,hot_take,Borderline
They'll be a first-round exit. What do you guys think?,hot_take,Borderline
They should trade him while they can.,hot_take,
This roster isn't winning a title. What do you guys think?,hot_take,Borderline
This roster isn't winning a title.,hot_take,
The MVP race is already over. What do you guys think?,hot_take,Borderline
I'd rather build around the younger guys. What do you guys think?,hot_take,Borderline
They'll be a first-round exit.,hot_take,
They should trade him while they can.,hot_take,
This team is better without their star.,hot_take,
They should trade him while they can.,hot_take,
This roster isn't winning a title. What do you guys think?,hot_take,Borderline
This roster isn't winning a title.,hot_take,
They should trade him while they can.,hot_take,
I don't think he's a superstar yet.,hot_take,
Does anyone know when he's coming back?,information_seeking,
Can someone explain that foul?,information_seeking,
How many games are left?,information_seeking,
Why wasn't that reviewed?,information_seeking,
What's their record against winning teams?,information_seeking,
What's their record against winning teams?,information_seeking,
Why didn't the coach challenge that call?,information_seeking,
What's their record against winning teams?,information_seeking,
Who has the tiebreaker now?,information_seeking,
Who starts if he's out? What do you guys think?,information_seeking,Borderline
Can someone explain that foul?,information_seeking,
Is this their longest winning streak?,information_seeking,
Who starts if he's out?,information_seeking,
Who starts if he's out?,information_seeking,
Is this their longest winning streak?,information_seeking,
Does anyone know when he's coming back?,information_seeking,
What's their record against winning teams?,information_seeking,
Who has the tiebreaker now?,information_seeking,
Did anyone see the injury update?,information_seeking,
Did anyone see the injury update?,information_seeking,
What's their record against winning teams? What do you guys think?,information_seeking,Borderline
What's their record against winning teams? What do you guys think?,information_seeking,Borderline
How many games are left? What do you guys think?,information_seeking,Borderline
Why wasn't that reviewed? Honestly idk though.,information_seeking,Borderline
How many games are left?,information_seeking,
How many games are left? What do you guys think?,information_seeking,Borderline
Did anyone see the injury update? Honestly idk though.,information_seeking,Borderline
Who has the tiebreaker now?,information_seeking,
Who has the tiebreaker now? What do you guys think?,information_seeking,Borderline
Can someone explain that foul?,information_seeking,
Can someone explain that foul? Honestly idk though.,information_seeking,Borderline
Why wasn't that reviewed?,information_seeking,
Does anyone know when he's coming back? What do you guys think?,information_seeking,Borderline
Who starts if he's out? What do you guys think?,information_seeking,Borderline
Did anyone see the injury update?,information_seeking,
Who starts if he's out?,information_seeking,
Is this their longest winning streak?,information_seeking,
What's their record against winning teams? What do you guys think?,information_seeking,Borderline
Why didn't the coach challenge that call? Honestly idk though.,information_seeking,Borderline
Is this their longest winning streak?,information_seeking,
Did anyone see the injury update?,information_seeking,
Did anyone see the injury update?,information_seeking,
Can someone explain that foul?,information_seeking,
What's their record against winning teams?,information_seeking,
Why wasn't that reviewed? What do you guys think?,information_seeking,Borderline
Who has the tiebreaker now? What do you guys think?,information_seeking,Borderline
Did anyone see the injury update? Honestly idk though.,information_seeking,Borderline
Why didn't the coach challenge that call?,information_seeking,
Why didn't the coach challenge that call?,information_seeking,
Why didn't the coach challenge that call? Honestly idk though.,information_seeking,Borderline
